sample_id,file,snr_db,velocity_kmh,kmax,num_paths,max_delay,pilot_snr_db,pilot_power,noise_power,M,N
35,sample_000035.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
36,sample_000036.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
37,sample_000037.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
38,sample_000038.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
39,sample_000039.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
40,sample_000040.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
41,sample_000041.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
42,sample_000042.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
43,sample_000043.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
44,sample_000044.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
45,sample_000045.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
46,sample_000046.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
47,sample_000047.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
48,sample_000048.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
49,sample_000049.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
50,sample_000050.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
51,sample_000051.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
52,sample_000052.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
53,sample_000053.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
54,sample_000054.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
55,sample_000055.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
56,sample_000056.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
57,sample_000057.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
58,sample_000058.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
59,sample_000059.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
60,sample_000060.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
61,sample_000061.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
62,sample_000062.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
63,sample_000063.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
64,sample_000064.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
65,sample_000065.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
66,sample_000066.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
67,sample_000067.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
68,sample_000068.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
69,sample_000069.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
70,sample_000070.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
71,sample_000071.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
72,sample_000072.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
73,sample_000073.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
74,sample_000074.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
75,sample_000075.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
76,sample_000076.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
77,sample_000077.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
78,sample_000078.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
79,sample_000079.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
80,sample_000080.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
81,sample_000081.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
82,sample_000082.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
83,sample_000083.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
84,sample_000084.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
85,sample_000085.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
86,sample_000086.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
87,sample_000087.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
88,sample_000088.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
89,sample_000089.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
90,sample_000090.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
91,sample_000091.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
92,sample_000092.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
93,sample_000093.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
94,sample_000094.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
95,sample_000095.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
96,sample_000096.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
97,sample_000097.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
98,sample_000098.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
99,sample_000099.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
100,sample_000100.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
101,sample_000101.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
102,sample_000102.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
103,sample_000103.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
104,sample_000104.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
105,sample_000105.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
106,sample_000106.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
107,sample_000107.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
108,sample_000108.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
109,sample_000109.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
110,sample_000110.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
111,sample_000111.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
112,sample_000112.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
113,sample_000113.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
114,sample_000114.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
115,sample_000115.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
116,sample_000116.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
117,sample_000117.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
118,sample_000118.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
119,sample_000119.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
120,sample_000120.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
121,sample_000121.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
122,sample_000122.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
123,sample_000123.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
124,sample_000124.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
125,sample_000125.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
126,sample_000126.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
127,sample_000127.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
128,sample_000128.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
129,sample_000129.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
130,sample_000130.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
131,sample_000131.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
132,sample_000132.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
133,sample_000133.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
134,sample_000134.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
135,sample_000135.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
136,sample_000136.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
137,sample_000137.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
138,sample_000138.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
139,sample_000139.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
140,sample_000140.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
141,sample_000141.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
142,sample_000142.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
143,sample_000143.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
144,sample_000144.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
145,sample_000145.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
146,sample_000146.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
147,sample_000147.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
148,sample_000148.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
149,sample_000149.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
150,sample_000150.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
151,sample_000151.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
152,sample_000152.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
153,sample_000153.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
154,sample_000154.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
155,sample_000155.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
156,sample_000156.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
157,sample_000157.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
158,sample_000158.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
159,sample_000159.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
160,sample_000160.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
161,sample_000161.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
162,sample_000162.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
163,sample_000163.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
164,sample_000164.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
165,sample_000165.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
166,sample_000166.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
167,sample_000167.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
168,sample_000168.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
169,sample_000169.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
170,sample_000170.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
171,sample_000171.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
172,sample_000172.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
173,sample_000173.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
174,sample_000174.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
175,sample_000175.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
176,sample_000176.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
177,sample_000177.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
178,sample_000178.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
179,sample_000179.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
180,sample_000180.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
181,sample_000181.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
182,sample_000182.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
183,sample_000183.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
184,sample_000184.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
185,sample_000185.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
186,sample_000186.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
187,sample_000187.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
188,sample_000188.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
189,sample_000189.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
190,sample_000190.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
191,sample_000191.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
192,sample_000192.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
193,sample_000193.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
194,sample_000194.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
195,sample_000195.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
196,sample_000196.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
197,sample_000197.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
198,sample_000198.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
199,sample_000199.npz,15,30,0.11860056718156518,4,4,25,10.0,0.03162277660168379,32,16
200,sample_000200.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
201,sample_000201.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
202,sample_000202.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
203,sample_000203.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
204,sample_000204.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
205,sample_000205.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
206,sample_000206.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
207,sample_000207.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
208,sample_000208.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
209,sample_000209.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
210,sample_000210.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
211,sample_000211.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
212,sample_000212.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
213,sample_000213.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
214,sample_000214.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
215,sample_000215.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
216,sample_000216.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
217,sample_000217.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
218,sample_000218.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
219,sample_000219.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
220,sample_000220.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
221,sample_000221.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
222,sample_000222.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
223,sample_000223.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
224,sample_000224.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
225,sample_000225.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
226,sample_000226.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
227,sample_000227.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
228,sample_000228.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
229,sample_000229.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
230,sample_000230.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
231,sample_000231.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
232,sample_000232.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
233,sample_000233.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
234,sample_000234.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
235,sample_000235.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
236,sample_000236.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
237,sample_000237.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
238,sample_000238.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
239,sample_000239.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
240,sample_000240.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
241,sample_000241.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
242,sample_000242.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
243,sample_000243.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
244,sample_000244.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
245,sample_000245.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
246,sample_000246.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
247,sample_000247.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
248,sample_000248.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
249,sample_000249.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
250,sample_000250.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
251,sample_000251.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
252,sample_000252.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
253,sample_000253.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
254,sample_000254.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
255,sample_000255.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
256,sample_000256.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
257,sample_000257.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
258,sample_000258.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
259,sample_000259.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
260,sample_000260.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
261,sample_000261.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
262,sample_000262.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
263,sample_000263.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
264,sample_000264.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
265,sample_000265.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
266,sample_000266.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
267,sample_000267.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
268,sample_000268.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
269,sample_000269.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
270,sample_000270.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
271,sample_000271.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
272,sample_000272.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
273,sample_000273.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
274,sample_000274.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
275,sample_000275.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
276,sample_000276.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
277,sample_000277.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
278,sample_000278.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
279,sample_000279.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
280,sample_000280.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
281,sample_000281.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
282,sample_000282.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
283,sample_000283.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
284,sample_000284.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
285,sample_000285.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
286,sample_000286.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
287,sample_000287.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
288,sample_000288.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
289,sample_000289.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
290,sample_000290.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
291,sample_000291.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
292,sample_000292.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
293,sample_000293.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
294,sample_000294.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
295,sample_000295.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
296,sample_000296.npz,20,30,0.11860056718156518,4,4,25,3.1622776601683795,0.01,32,16
